episode,timestep,reward
733,10000,-211.9263
1458,20000,-212.6731
2038,30000,-216.2328
2659,40000,-215.0596
3035,50000,-225.609
3399,60000,-226.4505
3637,70000,-240.5924
3881,80000,-240.0984
4057,90000,-251.3068
4230,100000,-257.2254
4350,110000,-282.0917
4476,120000,-278.6746
4556,130000,-324.05
4646,140000,-310.0778
4709,150000,-355.5714
4762,160000,-389.4906
4797,170000,-484.5714
4833,180000,-476.8889
4854,190000,-663.1429
4873,200000,-727.2632
4887,210000,-830.7857
4901,220000,-921.4286
4916,230000,-947.6667
4930,240000,-905.8571
4938,250000,-1450.0
4942,260000,-2203.75
4946,270000,-2153.5
4953,280000,-1910.8571
4956,290000,-3397.3333
4962,300000,-2309.1667
4964,310000,-5118.0
4967,320000,-2887.6667
4969,330000,-3806.0
4972,340000,-4280.0
4974,350000,-4350.5
4977,360000,-4008.6667
4981,370000,-2904.0
4983,380000,-5199.0
4985,390000,-5199.0
4988,400000,-4193.3333
